File on Array,Identifier,Title,Date,Theme,Subtheme (Optional),Subject Terms (Controlled Vocab),"Names (Last, First M.)",Place ,Description,Genre / Form,Physical Format,Photographer / Studio,Source / Collection,Rights,Notes (LCPS Internal),Architect,Builder,Architectura Style,Construction Date,Addresses
SOP CD1,CD 1 01 53 58 1 Central SS,Carter Service Shop,1958,Townscape & Built Environment,Commerical Buildings,Buildings,,,,Photographs,,,Sara Meyer,,,,,,,600 Marine Dr. (1960)
SOP CD1,CD 1 01 53 57 2 in 1957,"Leicht Motor Co., Used Oldsmobiles in the Fort George building",1957,Townscape & Built Environment,Commerical Buildings,Buildings,Fort George Building,Astoria - Oregon - Downtown,,Photographs,,,Sara Meyer,,,John E. Wicks,,,,
SOP CD1,CD 1 01 53 571 in 1957,"Leicht Motor Co., Used Oldsmobiles in the Fort George building",1957,Townscape & Built Environment,Commerical Buildings,Public buildings,Fort George Building,Astoria - Oregon - Downtown,,Photographs,,,Sara Meyer,,,John E. Wicks,,,,
SOP CD1,CD 1 01 51 26 1 Alderbrook Hall,"Alderbrook Fire Station, as built?",1926,Townscape & Built Environment,Public Buildings,Buildings,Alderbrook Fire Station,Astoria - Oregon - Alderbrook,,Photographs,,,Sara Meyer,,,Guannt,,,,
SOP CD1,CD 1 01 53 54 1,Custard King,1954,Townscape & Built Environment,Commerical Buildings,Buildings,Custard King,Astoria - Oregon,,Photographs,,,Sara Meyer,,Super high-quality,,,,,
SOP CD1,CD 1 01 53 50 01 Roy's Shell,Roy's Shell Service Station,1950,Townscape & Built Environment,Commerical Buildings,Buildings,Roy's Shell,Astoria - Oregon,,Photographs,,,Sara Meyer,,,,,,,
SOP CD1,CD 1 01 53 34 2 Finnis,"Finnish Meat Market, Uniontown, neon signs",1934,Townscape & Built Environment,Commerical Buildings,Buildings,Finnish Meat Market,Astoria - Oregon - Uniontown,,Photographs,,,Sara Meyer,,,,,,,
SOP CD1,CD 1 01 53 65 1 NuMar,Osburn-O'Brien Building,1965,Townscape & Built Environment,Commerical Buildings,Buildings,"Osburn-O'Brien, Nu-Mart, Merle Norman Cosmetic Studio, Job Corps Downtown Center",Astoria - Oregon,,Photographs,,,Sara Meyer,,,,,,,
SOP CD1,CD 1 01 53 65 2 NuMar,"Osburn-O'Brien Building, N-U Mart",1965,Townscape & Built Environment,Commerical Buildings,Buildings,"N-U Mart, Norblad Hotel, J. C. Penney",Astoria - Oregon,,Photographs,,,Sara Meyer,,,,,,,
SOP CD1,CD 1 1 67 54 2,Zero Zone Locker Co. Delivery Truck,1954,Townscape & Built Environment,Streets,Streets,"Zero Zone ocker Co., Custard King, Birds Eye",Astoria - Oregon,,Photographs,,,Sara Meyer,,,,,,,
